md5_from,md5_to,MW_forward,MW_reverse
16f6598b8413c2691f729ba63964007d,3c8c149fa9b5eb887bb9d5cb446962dd,572.9,314.5
50429f255f0345eb0f7c06048a3bfd71,f95164989b1010c59e4a64bd7bd6f192,1747.6,1965.7
3b72b1036881abc5835a0d03a75158d9,ea0e293ed86ef9e84f338977818d217b,4684.2,4230.1
a6fce5e6ca5bec22c9b802d4f91da3eb,31da568156a8ba328f818b47c9f5b8bb,2006.4,2038.7
e596d14d3a13498a8c5c5092244ab966,db6bb71046588ae507769512b153877b,2558.5,3300.1
c9358d780569bcaad2c3c8d081af186b,0c03add16b1ced2262e7d738a50e7c80,1654.5,1703.9
619c1be4c89a19705bf8e782db74d127,cab1458966f921cea50d07b202d49c99,3899.0,4056.1
aedcebc1529b01e8bf77393c81406931,e29b0ce7815148548561f1e505388a87,824.2,644.2
aedcebc1529b01e8bf77393c81406931,8b16b8589a919b5ac2a8e967f5840851,228.6,274.8
ae401e91c59522060b39dc28b850fad3,16f6598b8413c2691f729ba63964007d,264.0,816.6
ae401e91c59522060b39dc28b850fad3,a4ed13a6f161d96f8aa20727345a3158,1841.5,1778.8
ae401e91c59522060b39dc28b850fad3,3c8c149fa9b5eb887bb9d5cb446962dd,501.2,1751.0
3b72b1036881abc5835a0d03a75158d9,3880aa9b7b692dc69f78610944837e08,2223.5,2850.0
f95164989b1010c59e4a64bd7bd6f192,ae401e91c59522060b39dc28b850fad3,1737.7,1920.5
16f6598b8413c2691f729ba63964007d,932bd69975a061bb299f65fa80844851,0.0,11.0
db6bb71046588ae507769512b153877b,3b72b1036881abc5835a0d03a75158d9,2085.9,2399.6
50429f255f0345eb0f7c06048a3bfd71,ae401e91c59522060b39dc28b850fad3,431.9,573.2
0c03add16b1ced2262e7d738a50e7c80,dfb7ed5634eedad7683248a52b05238f,212.6,194.2
f95164989b1010c59e4a64bd7bd6f192,c9358d780569bcaad2c3c8d081af186b,3346.2,3306.8
dfb7ed5634eedad7683248a52b05238f,8f3fafdec035b1e90015ae6071184f54,5.4,0.0
50429f255f0345eb0f7c06048a3bfd71,d14df0e3482dbfefc31bbf9196420883,297.5,401.6
f95164989b1010c59e4a64bd7bd6f192,998030323db090e04d0a4c441ea7a89c,1942.0,2841.5
dfb7ed5634eedad7683248a52b05238f,cab1458966f921cea50d07b202d49c99,109.9,110.4
223606f488621a5b46d3b064f5c4ce83,932bd69975a061bb299f65fa80844851,364.6,522.9
932bd69975a061bb299f65fa80844851,dc970afb98df33ca96cbeaf117d557ef,451.1,252.5
223606f488621a5b46d3b064f5c4ce83,303776352024811045f9ff9901443c3f,263.8,127.5
