start,end,polarity,voltage,cost_MUSD,length_miles
a0382a77b99c55dfa56274e125ef4c24,4b6671edd95042c93748edc0cd77a1ae,ac,138,25.54,14.25
9f9788e7a8c43e50aee22707afe7c546,0ec21813c19c681db52835da468f4a84,ac,138,143.36,36.96
cd0e9d013a5bb2fce93b3e4c26877d6b,2b8aa4c8d8d89710f0e2c7c7a99692fc,ac,138,145.9,81.42
10620b7827f8e24f764b930240fa5c96,1134604ead16f77309235aa3d327bb59,ac,138,152.55,85.13
26c954646e21d70792e4db24a76a5fc0,a2d22c3252eb5505ba9b1899cda9dad2,ac,138,32.26,18.0
cef65a145c54dbe0f1ea8ad16a331421,593de40b4d3070f61ea21d659cf7517c,ac,138,65.87,36.76
4385a0335a5daa56f694a86f9e3e599e,581a4c33889fc7aeca599e03628e37d3,ac,138,77.9,43.47
cd0e9d013a5bb2fce93b3e4c26877d6b,cbfad8cfc479906fe118a2696d34ee4f,ac,138,208.59,116.4
59e303779456f354cb4c87447155d612,c36615321286c6ac958ad820ab896fb4,ac,138,76.91,42.92
e321abd135c19b6d4cee4da276d4970e,cef65a145c54dbe0f1ea8ad16a331421,ac,138,63.2,35.27
aff2ece53fb372e0a4cbe56c479918c4,681edca905f93d0d1ddd5f82b0385bae,ac,138,49.28,27.5
c40ddeb230354b0371189e8e84b6a576,586406bbb76b6baac45c43a81ec2e35c,ac,138,43.64,24.35
7b57dd3faa86c70f672b4168c996a251,c872b22bc2ece6de7deafc6b5982b960,ac,138,73.92,41.25
7eb2b0aefbff81ff68ee482597a991be,e0402b53c67db4d0eba5930069fcf830,ac,138,48.87,27.27
63bad29d7bd81c84cfee6ab8e3890545,fed509800df41e8a2ec17e894a2626f0,ac,138,85.96,47.97
3d194d58a6470121c92f29c1ee4c936f,8067be2623f432f245c659f9d0c85325,ac,138,82.84,46.23
baedb748044841999a16d08bbb7e7299,4e4c4d563fa79d9a008be459fe0ffe3d,ac,138,95.21,53.13
2a5db3d6ce6a75fb53c80498ad253377,7e17d1a0db048c466ba0a15fffaaa247,ac,138,95.51,53.3
2a5db3d6ce6a75fb53c80498ad253377,44e444f86a50a6b522af623e41d0a578,ac,138,83.88,46.81
157db0091dc94a8b439cf5e46fc5dfd2,23ca67cfd093157f2b1b68bafb1f0a3e,ac,138,40.09,22.37
3156231783935e97c9ac263991fe57cc,4ce43eeff8805bee6936a5bcb383edc6,ac,138,54.46,30.39
5ce3197852088a7e5a3c8b625430c44f,4e4c4d563fa79d9a008be459fe0ffe3d,ac,138,90.98,50.77
2635749c5721bb3d5021ce2144ca0146,681edca905f93d0d1ddd5f82b0385bae,ac,138,32.08,17.9
00b7912ef80c0e4f2b56d5e11118fbf1,c334d1fb8d3157de3a0ebf8683060878,ac,138,53.26,29.72
e0e98d22f87057af6cf8eaed65f1ea55,9833e17885d5b17b809b750b43b2fccb,ac,138,130.42,72.78
6fc6754722b8e76ed6808d9ee828e7e6,6948fe29bc5c515c2c99aac111cbd38c,ac,138,70.73,39.47
cc0c03944d54e6fb0a27aa25d3c43dfc,519edc8db508d1c088f793f2c3647e6f,ac,138,46.04,25.69
93fbe03d0e7b762d188a63f89bc1b75f,9d06fc0e479bf3d6bbc365b1e580d3d1,ac,138,48.65,27.15
6358390c66d2575ac3607502a92e34af,0c64b7c951c32ba2449ef04382ae00ef,ac,138,54.53,30.43
e7c26e48b7ee853cbf5e49de5d800745,bec86aeee7d10a957750af645055a115,ac,138,50.62,28.25
1d93b3d03e07f30415bb68699463271f,c06debb249d4e75425c7f2c2c9e96a5c,ac,138,47.11,26.29
c73edcecd97f8e999b5cd937d5e6827e,c06debb249d4e75425c7f2c2c9e96a5c,ac,138,118.49,66.12
ec217345c687eb83217574d4dccd5551,c06debb249d4e75425c7f2c2c9e96a5c,ac,138,56.95,31.78
96d266834024baec8b64b960391c31e5,1aebc7e51e61a787aa2d3419a3a96ae0,ac,138,24.57,13.71
21993f0e240be6533d3f445307d51767,1aebc7e51e61a787aa2d3419a3a96ae0,ac,138,25.68,14.33
67eed99b828e1b94f5b53bce9e400a17,cd24c3cabd88307c9c9299817143ba5d,ac,138,51.52,28.75
9833e17885d5b17b809b750b43b2fccb,44ebc4e28c99d8aeaead73b4b70cc5e9,ac,138,92.16,51.43
7fc91ff77c2d67a6ceb83a4542afb346,f536c8bd94fdd9ce73262d2e842e4a41,ac,138,56.43,31.49
7a96a023560f0d135d0025202ea237e0,bb997d580d9b9d97167966b8591917fb,ac,138,59.32,33.1
4b83ab1aa56735dcf18fe2184a776649,983c551e0b2e02d17c27f93dc691f1f8,ac,138,49.94,27.87
