md5_from,md5_to,MW_forward,MW_reverse,source
cef5524641d35342a138832d05ffe4e9,ae224a2b6d1b233a204dad19a6aa017d,89.917,0.0,uprate
6060d12ec4413d29a17e7584783c23be,b7644abae9d51f072401f013b5d42d53,0.0,83.681,uprate
dacbf079ffedc402d67968f7757064dd,72f9f967c43ce5c44ea12bf78ae63eaf,47.533,0.0,uprate
6593de02e6979db9ca7c1aa0d52d50e0,a7a468ea0e03045083a336266b46b0de,0.0,22.986,uprate
24e55470484c60fc7d9645a2ba7e5a18,6d81df16fca504b6fb9280b11d2b0ae0,1.747,0.0,uprate
24e55470484c60fc7d9645a2ba7e5a18,a624873c42ee905ecc113ce243187740,136.19,0.0,uprate
7aa8cded4429062141a21172a645e515,7ec49d235b3b7457aa6625a77f3d38d8,15.092,0.0,uprate
bb27b25e4c03d002e86f30c7d7eae6c3,c766cb374fd37fb59517aac231dafc81,0.0,52.798,uprate
4ed7d66a7373aab4a4ff4258e9b1c51f,9fccd04fe67747a7de261215c0cfea76,0.0,154.114,uprate
c766cb374fd37fb59517aac231dafc81,235173ebcd720df4c6aa74f3860d8dc4,31.712,0.0,uprate
c766cb374fd37fb59517aac231dafc81,61d11278e40c04c1a4b014546772dcf8,23.205,0.0,uprate
211fa07fbd5ca833b4cfd48c462138a9,4effc08cc893c51a48f840e0b6e8e2b8,13.103,0.0,uprate
6b67560b23af2fb369555be4155d8c48,c9108dde6dd7b4e071129d2f9100fa55,6.762,0.0,uprate
6b67560b23af2fb369555be4155d8c48,4d6dc151315add4c4b579c68cffe18c7,0.0,98.313,uprate
8336a44c34eb4eda4d10217c50c245e6,db90a31ac5c9409572031b5ff841077a,5.264,0.0,uprate
8336a44c34eb4eda4d10217c50c245e6,69c627fd1e3e616bed37abe0b6eea581,96.669,0.0,uprate
3aa207e43a501b7a8e06242eb1dfc72d,59aeb10ef68deeb91a09195d122d76d8,0.0,16.611,uprate
61d11278e40c04c1a4b014546772dcf8,8c2f64f08271fc4e4351c12acee2a932,0.0,17.214,uprate
74fb76350e843096a4bff83ba35a17f2,a25ae004eadf95406855ffbad5653993,157.568,0.0,uprate
74fb76350e843096a4bff83ba35a17f2,c876da2dc35e298b13f5ce07b724065a,130.488,0.0,uprate
db90a31ac5c9409572031b5ff841077a,baa67ffe986af10906830246751f8246,0.0,23.774,uprate
9fccd04fe67747a7de261215c0cfea76,fff75f52998a477f6e7b00e58af8d64a,41.226,0.0,uprate
a25ae004eadf95406855ffbad5653993,67e7cfd2e483fbbaaaa54b5523753e58,6.587,0.0,uprate
299a48c40fac744498626b1df660d9c3,8371d58a2140475594cb7a1c22f0baaa,1159.48,0.0,uprate
cd2d9ff70c5361ea752e858d7bbf8437,0406576f71bdf8cdb29942cd5c1548c7,0.0,52.946,uprate
ae7ec2b45beed17d0786e97d65a39e8d,6ed94d74189ebcdb131007c4babee442,0.0,536.968,uprate
12f743edf866f7a7ff81368543dcd1a1,6ed94d74189ebcdb131007c4babee442,0.0,16.791,uprate
69930733ad15478fdd5332faf5a3a662,542db1350b540ed5fe414afa93fe45fb,0.315,0.0,newlink
83f075354ac93f60d1c1ac9a15399196,0bfda19bd8d869e39d1996f29b9c6133,0.0,16.019,newlink
2a519dc383bbb4f07ad74720bb1a5fbf,bec86aeee7d10a957750af645055a115,28.729,0.0,newlink
e936cd0726594710711f6be2a3fc1ddf,771f0d31d334435279ea1ea02b2c660c,0.0,79.22,uprate
976f1ecb676aa1bb3bb86ed84e79cdfa,8371d58a2140475594cb7a1c22f0baaa,0.0,232.381,uprate
9087fba46cda4f8063b397bf472f226c,939a391a1ac9a3431f2d78e83bd8b856,117.598,0.0,uprate
